UniqueCount	AmbigCount
0	0
0	0
0	1
1	1
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
7	65
0	41
0	41
0	50
1	16
0	0
1	24
0	19
0	2
0	0
3	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	4
12	286
41	412
4	37
0	220
24	15
5	246
0	64
12	0
0	358
955	594
0	359
0	103
0	53
11	364
1	175
10	54
0	181
100	772
4	766
0	81
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	1016
19	1774
21	249
2	978
2	129
0	18
4	1432
1	442
0	0
0	0
0	0
1	0
2	3
0	3
0	3
0	3
0	0
0	0
1	0
0	0
0	0
0	9
0	24
15	611
0	26
0	6
0	183
0	528
1	75
1	222
1	2
0	73
0	0
0	14
1	61
12	4
0	100
34	11
0	0
0	11
0	0
0	1
0	0
3	0
0	7
0	7
0	7
0	0
0	0
0	7
0	5
0	0
0	7
0	2
0	0
0	1
0	1
0	0
0	0
0	9
0	0
0	0
0	0
0	0
154	568
0	35
0	3
0	394
0	85
0	5
3	545
0	511
0	0
9	0
0	94
0	0
0	0
0	0
5	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	2
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	34
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
274	0
0	18
0	17
0	1
0	0
0	15
0	0
0	0
0	0
0	0
0	0
1	1758
3	0
0	0
24	8
0	8
0	1
0	2
0	5
831	87
1	166
4	61
1	2
0	2
0	78
0	1
0	3
17	570
0	531
0	583
1	2
0	391
0	470
2	569
0	3
2	29
0	473
13	4
15	42
0	4
0	0
1	0
0	1
0	0
1	1
0	0
0	0
3	24
9	9
0	2
0	15
5	17
0	0
8	35
0	34
0	1
0	0
1	1
0	1
0	0
0	1
0	0
0	0
0	0
76	607
0	211
4	349
0	190
4	398
1	113
1	77
0	0
0	0
48	180
1	3
0	3
0	23
0	0
0	22
0	23
0	1
1	21
0	1
0	1
3	150
0	3
15	1
0	9
2	7
1	9
0	5
0	1
0	1
0	42
0	0
5	7
1	2
0	31
0	0
1310	1248
0	119
0	167
1	38
0	1
0	923
0	10
0	71
0	0
0	0
0	2
5	2
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
185	55
1	4
0	13
0	2
0	5
0	3
0	36
0	9
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
