UniqueCount	AmbigCount
0	0
0	0
0	2
2	2
1	1
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	37
0	30
0	36
0	21
1	8
0	0
1	10
0	7
2	1
0	0
0	1
0	0
0	0
0	0
0	0
1	3
0	0
0	0
0	0
0	20
6	299
41	429
1	56
0	249
18	50
2	283
0	86
5	0
0	472
936	713
0	474
0	170
0	133
4	436
0	261
21	65
3	272
76	891
1	876
0	126
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	1301
29	2063
7	287
5	1162
1	158
0	82
5	1674
0	545
0	0
0	0
0	0
0	0
0	4
0	2
0	4
0	0
0	0
0	0
0	0
1	0
0	0
0	15
0	41
10	678
0	39
0	8
0	221
0	576
0	70
0	257
6	1
0	87
2	3
0	21
2	82
10	6
0	111
33	18
1	3
0	15
0	0
0	5
0	0
2	0
0	13
0	13
0	13
0	0
0	2
0	12
0	8
0	0
0	13
0	0
0	0
0	3
0	2
1	0
0	0
1	141
0	0
0	0
0	0
0	0
182	686
4	57
0	0
0	462
0	114
3	16
10	649
1	619
0	0
29	0
0	428
0	0
0	0
0	0
4	2
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	1
0	0
0	6
0	6
0	6
0	6
0	2
0	0
0	1
0	4
0	4
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	47
0	2
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
291	0
2	15
0	15
0	0
0	3
0	13
1	3
0	3
2	0
0	3
0	3
2	2608
1	0
0	0
15	9
0	9
0	0
0	1
0	3
1014	95
0	228
8	77
4	5
0	4
1	134
1	2
0	2
20	818
0	783
0	838
1	9
3	567
1	634
0	820
0	12
0	67
2	679
12	20
13	80
0	9
0	0
1	0
0	0
0	0
0	0
0	0
0	0
5	43
11	12
0	6
0	35
5	36
0	0
26	63
0	56
1	7
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
64	806
0	297
5	476
0	257
13	556
1	160
2	120
0	1
0	2
43	205
3	7
0	7
0	36
0	2
3	35
2	30
0	4
1	34
0	3
0	2
2	173
0	10
29	5
0	15
0	10
3	7
0	7
0	0
0	2
0	46
1	2
6	10
0	5
0	25
0	0
1542	1788
0	164
0	239
5	66
0	10
1	1308
0	44
0	165
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
139	56
0	6
0	21
0	3
0	7
0	7
0	26
0	3
0	0
0	0
0	0
0	4
0	1
0	0
0	1
0	1
0	6
0	1
