Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
CSR2019-0005_quant	86.9583607680847	15817838
CSR2019-0008_quant	91.13779681788526	17432239
CSR2019-0014_quant	88.86183347051585	17929015
CSR2019-0017_quant	90.78660662379929	12854068
CSR2019-0023_quant	92.90683047481411	17349913
CSR2019-0032_quant	88.74676094685321	20185173
CSR2019-0041_quant	91.59765881054554	13388217
CSR2019-0044_quant	90.761222568832	14335353
CSR2019-0050_quant	91.49106424030632	14024485
CSR2019-0053_quant	91.53454413773899	15338255
CSR2019-0059_quant	92.8183594977828	17688185
CSR2019-0077_quant	92.4972772086504	18618924
CSR2019-0080_quant	90.7863570742425	18260195
CSR2019-0089_quant	89.5791937112085	20120191
CSR2019-0209_quant	90.69424796010517	16720280
CSR2019-0212_quant	92.55580178935554	20351713
CSR2019-0218_quant	89.37969980794662	17706224
CSR2019-0221_quant	89.80939697868521	21713834
CSR2019-0227_quant	89.53444823743467	17803335
CSR2019-0230_quant	92.88728081970268	19570698
CSR2019-0236_quant	89.31242747635945	19786260
CSR2019-0239_quant	93.28673606216589	14298531
CSR2019-0371_quant	88.94871409017892	16059862
CSR2019-0380_quant	89.35119912265425	14309297
CSR2019-0383_quant	92.5370894116796	20111106
CSR2019-0389_quant	90.41189180241702	17937251
CSR2019-0392_quant	92.11599395187189	19540727
CSR2019-0398_quant	88.86610962959382	18825386
CSR2019-0401_quant	92.36450785963484	18926790
CSR2019-0407_quant	91.60332198524233	15815734
CSR2019-0416_quant	91.12629362807647	17646707
CSR2019-0709_quant	90.14994040839255	17338154
CSR2019-0712_quant	91.69467983601943	19784465
CSR2019-0718_quant	90.46332331796691	16848234
CSR2019-0721_quant	91.89144335867067	20010912
CSR2019-0821_quant	90.34394767769697	13926169
CSR2019-0824_quant	92.68736402123609	22305102
CSR2019-0830_quant	90.22979078910049	13383719
CSR2019-0833_quant	93.00230250722014	20393796
CSR2019-0839_quant	90.04852809553321	16735247
CSR2019-0842_quant	92.9108014623035	14861118
CSR2019-0848_quant	86.57184233720179	15426163
CSR2019-0851_quant	92.61091853554818	17635925
CSR2019-0857_quant	91.17829394225808	16075397
CSR2019-0860_quant	91.4456517177477	20329869
CSR2019-0911_quant	91.39731220061125	17024496
CSR2019-0914_quant	92.72381643274396	18891453
CSR2019-0920_quant	90.1737471643381	18093742
CSR2019-0923_quant	92.39313165316578	19382476
