Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
CSR2019-0005_quant	1.5.1	none	vb	[]	1	['IU']	1001	233.17734298330683	119.36443083576663	True	False	4096	mapping	False	140789	61	237671	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	18190129	15817838	663986	256042	1036089	7157700	86.9583607680847	quant	Tue Jun 22 21:48:48 2021	Tue Jun 22 21:53:42 2021
CSR2019-0008_quant	1.5.1	none	vb	[]	1	['IU']	1001	233.29187274932585	121.57439505655678	True	False	4096	mapping	False	140789	61	207465	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	19127343	17432239	553398	234553	881835	6683048	91.13779681788526	quant	Tue Jun 22 21:48:48 2021	Tue Jun 22 21:53:21 2021
CSR2019-0014_quant	1.5.1	none	vb	[]	1	['IU']	1001	232.4389874774204	121.46797137984257	True	False	4096	mapping	False	140789	61	253353	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	20176283	17929015	629895	283046	1047829	7900567	88.86183347051585	quant	Tue Jun 22 21:48:48 2021	Tue Jun 22 21:53:58 2021
CSR2019-0017_quant	1.5.1	none	vb	[]	1	['IU']	1001	225.60142159635248	116.16486547424212	True	False	4096	mapping	False	140789	61	177943	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	14158551	12854068	414063	176132	658701	5074018	90.78660662379929	quant	Tue Jun 22 21:53:25 2021	Tue Jun 22 21:56:41 2021
CSR2019-0023_quant	1.5.1	none	vb	[]	1	['IU']	1001	233.83328495739954	122.14902437051619	True	False	4096	mapping	False	140789	61	236202	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	18674529	17349913	387552	259047	750198	7090777	92.90683047481411	quant	Tue Jun 22 21:53:46 2021	Tue Jun 22 21:57:36 2021
CSR2019-0032_quant	1.5.1	none	vb	[]	1	['IU']	1001	225.04809937856837	115.0631030507414	True	False	4096	mapping	False	140789	61	255105	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	22744687	20185173	745439	333995	1196670	8922060	88.74676094685321	quant	Tue Jun 22 21:54:02 2021	Tue Jun 22 21:58:33 2021
CSR2019-0041_quant	1.5.1	none	vb	[]	1	['IU']	1001	230.5757803477859	121.23458523271304	True	False	4096	mapping	False	140789	61	220888	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	14616331	13388217	352175	215953	640103	5664753	91.59765881054554	quant	Tue Jun 22 21:56:45 2021	Tue Jun 22 22:00:07 2021
CSR2019-0044_quant	1.5.1	none	vb	[]	1	['IU']	1001	206.59124890937343	102.60456990138644	True	False	4096	mapping	False	140789	61	162061	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	15794579	14335353	440412	210059	697031	5820220	90.761222568832	quant	Tue Jun 22 21:57:39 2021	Tue Jun 22 22:01:06 2021
CSR2019-0050_quant	1.5.1	none	vb	[]	1	['IU']	1001	231.056883990567	119.79067380902362	True	False	4096	mapping	False	140789	61	219380	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	15328803	14024485	382441	220193	686953	5766910	91.49106424030632	quant	Tue Jun 22 21:58:37 2021	Tue Jun 22 22:01:57 2021
CSR2019-0053_quant	1.5.1	none	vb	[]	1	['IU']	1001	220.00066886815455	113.92658819159115	True	False	4096	mapping	False	140789	61	183725	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	16756794	15338255	457252	208308	732961	5962556	91.53454413773899	quant	Tue Jun 22 22:00:10 2021	Tue Jun 22 22:03:34 2021
