UniqueCount	AmbigCount
0	0
0	0
0	1
0	0
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	26
0	18
0	22
0	20
0	7
0	2
0	10
0	11
0	4
0	0
2	18
0	0
0	0
0	0
0	0
2	6
0	1
0	0
0	0
0	42
0	137
2	191
3	45
0	142
9	47
5	129
0	65
2	0
1	286
343	385
0	289
0	160
0	133
3	305
0	174
9	100
1	198
28	355
1	319
0	88
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	521
6	718
15	161
4	497
2	95
0	92
0	611
1	220
0	0
0	1
0	0
1	0
2	4
0	2
0	4
0	1
0	0
0	0
0	0
3	0
0	0
0	11
0	16
5	273
0	14
0	7
0	85
0	248
0	42
0	125
1	8
0	39
0	6
0	11
0	42
0	7
0	53
9	12
0	5
0	7
0	0
0	12
1	0
1	3
0	6
0	6
0	6
0	0
0	0
0	5
0	5
0	0
0	6
0	0
0	0
0	2
0	0
0	0
1	1
0	239
0	0
0	0
0	0
0	0
61	254
0	37
0	0
0	168
0	65
0	21
3	244
0	235
0	0
6	0
0	220
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	4
0	0
0	0
0	0
0	26
0	4
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
142	0
0	6
0	5
0	1
0	2
1	5
0	0
0	0
5	0
0	0
0	0
0	1788
0	0
0	0
2	4
0	4
0	0
0	0
0	4
340	42
0	83
1	28
0	2
0	1
0	38
0	2
0	2
7	267
0	265
0	272
0	3
0	212
0	239
0	267
0	12
0	29
0	233
1	32
6	46
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	19
0	16
0	10
0	13
2	10
0	0
11	39
0	31
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	341
0	130
1	241
0	105
4	243
2	77
3	96
0	0
0	0
13	83
0	3
0	3
0	14
0	2
0	13
0	12
0	2
0	13
0	1
0	1
1	73
0	8
7	3
0	8
2	3
0	5
0	5
0	1
0	3
0	22
4	1
1	8
0	1
0	9
0	0
395	661
0	66
0	85
3	44
0	14
0	452
0	25
0	69
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	2
0	0
72	47
2	1
0	26
0	7
0	3
0	4
0	17
0	5
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	1
