Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
CSR2019-0005_quant	85.80187456655902	4409451
CSR2019-0008_quant	90.12047295674196	5083412
CSR2019-0014_quant	87.63315822693923	5248122
CSR2019-0017_quant	89.5441808104863	3907109
CSR2019-0023_quant	92.28969164563026	5063126
CSR2019-0032_quant	87.6030261837666	5901179
CSR2019-0041_quant	90.83224225843782	4061224
CSR2019-0044_quant	89.6827555603333	4955522
CSR2019-0050_quant	91.0607875356351	4047703
CSR2019-0053_quant	90.71359260316942	4853736
CSR2019-0059_quant	92.28757910798778	4981247
CSR2019-0077_quant	92.22333529676438	5304535
CSR2019-0080_quant	89.91331433298414	5467260
CSR2019-0089_quant	86.528660209591	6419332
CSR2019-0209_quant	89.70808462384569	4877939
CSR2019-0212_quant	91.7301274562896	6358826
CSR2019-0218_quant	89.10448199040995	5224333
CSR2019-0221_quant	88.52075574991227	6972309
CSR2019-0227_quant	88.88602204477485	5188142
CSR2019-0230_quant	92.61086287762298	5756619
CSR2019-0236_quant	88.08036652041683	6092659
CSR2019-0239_quant	92.73314923615833	4437424
CSR2019-0371_quant	88.0506840728182	5125639
CSR2019-0380_quant	88.83073904272953	4312465
CSR2019-0383_quant	91.56218860844182	6124343
CSR2019-0389_quant	89.62740431945849	5439696
CSR2019-0392_quant	91.74644256499896	5536351
CSR2019-0398_quant	88.84093150367909	5466514
CSR2019-0401_quant	92.17778496444726	5415514
CSR2019-0407_quant	90.48836001523833	4577170
CSR2019-0416_quant	90.64385716527359	5094977
CSR2019-0709_quant	89.27031745163627	5255856
CSR2019-0712_quant	89.4065305617859	6118358
CSR2019-0718_quant	89.852356061329	4962135
CSR2019-0721_quant	91.03537966028003	5904491
CSR2019-0821_quant	89.22401966833023	4302351
CSR2019-0824_quant	91.4579212686689	7091778
CSR2019-0830_quant	88.66876659087758	4074125
CSR2019-0833_quant	92.13134640041152	6600110
CSR2019-0839_quant	89.25449529697211	5048552
CSR2019-0842_quant	92.0632040803804	4861206
CSR2019-0848_quant	86.44265309531121	4492276
CSR2019-0851_quant	92.0798035207613	5495191
CSR2019-0857_quant	90.00113305873913	4781807
CSR2019-0860_quant	91.316314617476	6254942
CSR2019-0911_quant	90.78472466244082	4694361
CSR2019-0914_quant	92.59782047202442	5601682
CSR2019-0920_quant	88.44265169543105	5417261
CSR2019-0923_quant	91.05858714367415	5954922
