Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
CSR2019-0005_quant	1.5.1	none	vb	[]	1	['U']	1001	266.7649633674773	102.73817156919436	True	False	4096	mapping	False	140789	61	203029	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	5139108	4409451	123175	0	187930	2344160	85.80187456655902	quant	Fri Jun 18 16:33:01 2021	Fri Jun 18 16:34:31 2021
CSR2019-0008_quant	1.5.1	none	vb	[]	1	['U']	1001	266.7649633674773	102.73817156919436	True	False	4096	mapping	False	140789	61	175274	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	5640685	5083412	109029	0	171909	2357492	90.12047295674196	quant	Fri Jun 18 16:33:01 2021	Fri Jun 18 16:34:17 2021
CSR2019-0014_quant	1.5.1	none	vb	[]	1	['U']	1001	266.7649633674773	102.73817156919436	True	False	4096	mapping	False	140789	61	217349	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	5988740	5248122	126343	0	204474	2688789	87.63315822693923	quant	Fri Jun 18 16:33:01 2021	Fri Jun 18 16:34:34 2021
CSR2019-0017_quant	1.5.1	none	vb	[]	1	['U']	1001	266.7649633674773	102.73817156919436	True	False	4096	mapping	False	140789	61	149966	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	4363331	3907109	87310	0	137107	1876003	89.5441808104863	quant	Fri Jun 18 16:34:20 2021	Fri Jun 18 16:35:30 2021
CSR2019-0023_quant	1.5.1	none	vb	[]	1	['U']	1001	266.7649633674773	102.73817156919436	True	False	4096	mapping	False	140789	61	203131	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	5486123	5063126	77690	0	145657	2373819	92.28969164563026	quant	Fri Jun 18 16:34:34 2021	Fri Jun 18 16:36:05 2021
CSR2019-0032_quant	1.5.1	none	vb	[]	1	['U']	1001	266.7649633674773	102.73817156919436	True	False	4096	mapping	False	140789	61	222521	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	6736273	5901179	144462	0	228265	3043467	87.6030261837666	quant	Fri Jun 18 16:34:37 2021	Fri Jun 18 16:36:16 2021
CSR2019-0041_quant	1.5.1	none	vb	[]	1	['U']	1001	266.7649633674773	102.73817156919436	True	False	4096	mapping	False	140789	61	192708	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	4471126	4061224	73213	0	130933	1967404	90.83224225843782	quant	Fri Jun 18 16:35:33 2021	Fri Jun 18 16:36:53 2021
CSR2019-0044_quant	1.5.1	none	vb	[]	1	['U']	1001	266.7649633674773	102.73817156919436	True	False	4096	mapping	False	140789	61	143554	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	5525613	4955522	113461	0	172534	2425893	89.6827555603333	quant	Fri Jun 18 16:36:08 2021	Fri Jun 18 16:37:29 2021
CSR2019-0050_quant	1.5.1	none	vb	[]	1	['U']	1001	266.7649633674773	102.73817156919436	True	False	4096	mapping	False	140789	61	189118	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	4445056	4047703	73623	0	130857	1942586	91.0607875356351	quant	Fri Jun 18 16:36:19 2021	Fri Jun 18 16:37:40 2021
CSR2019-0053_quant	1.5.1	none	vb	[]	1	['U']	1001	266.7649633674773	102.73817156919436	True	False	4096	mapping	False	140789	61	159352	False	['range_factorized', 'gzipped']	[485, 756, 1422, 2773, 100404]	a9a046f380e7df3b8f1ecba61ce1cb934757940759b7699585383246abca48a6	eea2b92a3317762f6151c27da567a602fff31c9fb56701829619d72ad82365c6	d819327b7d2d16a9a32f812304106c18f2bba45160b62442b0bf832574e4811a6ef9a30bd2c19756b10ec54b7f4bc3fe9292a310a9f48f701e0225aa55e7d240	1d990458edc8f881ef58d974e9d7c86b6248b9be6941d3a176d1140e44a5313281993351a6330d73cb44c63b067ac6a56747e40ce98a23dc4e3da6e4f9883859	39d3837ea001def952e79d70003dbba0199cc859b32f26350abfa271a6741167	bd5cd185b9e3272a64108e64e2bc47bc0552046dba3ff53683edeafab750c9ab	0	5350616	4853736	101683	0	160994	2246206	90.71359260316942	quant	Fri Jun 18 16:36:57 2021	Fri Jun 18 16:38:22 2021
