Sample	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped
CSR2019-0005_quant	87.26940109291841	11498063
CSR2019-0008_quant	91.11814493961943	12432649
CSR2019-0014_quant	88.9449677338206	12778084
CSR2019-0017_quant	90.72274261597845	8997516
CSR2019-0023_quant	93.010280885859	12379434
CSR2019-0032_quant	88.67116745949579	14393064
CSR2019-0041_quant	91.60862831938282	9388284
CSR2019-0044_quant	90.68051065120373	9424216
CSR2019-0050_quant	91.5233034954583	10049774
CSR2019-0053_quant	91.47859546306563	10540011
CSR2019-0059_quant	92.91935915235086	12799415
CSR2019-0077_quant	92.53180739279271	13408539
CSR2019-0080_quant	90.74492552916291	12870537
CSR2019-0089_quant	90.83067760397844	13815525
CSR2019-0209_quant	91.04038447672917	11932340
CSR2019-0212_quant	92.60928339889132	14107011
CSR2019-0218_quant	89.38495845818055	12575745
CSR2019-0221_quant	89.88735196990407	14861795
CSR2019-0227_quant	89.61570041414598	12718564
CSR2019-0230_quant	92.91378342334899	13929312
CSR2019-0236_quant	89.33808595040915	13800491
CSR2019-0239_quant	93.2538668825228	9932972
CSR2019-0371_quant	88.91031218971189	11008553
CSR2019-0380_quant	89.31633871626659	10072258
CSR2019-0383_quant	92.63841355249951	14104909
CSR2019-0389_quant	90.44174908377349	12590357
CSR2019-0392_quant	92.1438045016225	14119244
CSR2019-0398_quant	88.7353897498077	13452656
CSR2019-0401_quant	92.40301725234494	13620603
CSR2019-0407_quant	91.96734031886903	11327243
CSR2019-0416_quant	91.21075878202446	12651381
CSR2019-0709_quant	90.17648681877236	12180662
CSR2019-0712_quant	92.46658069897724	13763338
CSR2019-0718_quant	90.47920974235147	11984060
CSR2019-0721_quant	91.914055374951	14210299
CSR2019-0821_quant	90.33559799260999	9692427
CSR2019-0824_quant	92.67203084087564	15316533
CSR2019-0830_quant	90.26938358679362	9383729
CSR2019-0833_quant	92.98376852070326	13879384
CSR2019-0839_quant	90.00244924655091	11773737
CSR2019-0842_quant	92.88776357370642	10056033
CSR2019-0848_quant	86.36168176669688	11019862
CSR2019-0851_quant	92.53514793735974	12226348
CSR2019-0857_quant	91.57116420344768	11368115
CSR2019-0860_quant	91.24855413993528	14158779
CSR2019-0911_quant	91.46481071987557	12415127
CSR2019-0914_quant	92.65671041755805	13376815
CSR2019-0920_quant	90.23393856822062	12763818
CSR2019-0923_quant	92.9886911740617	13556215
