Module	Section	Sample Name	Source
Salmon	all_sections	CSR2019-0914_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0914_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0920_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0920_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0008_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0008_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0239_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0239_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0380_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0380_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0218_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0218_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0044_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0044_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0371_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0371_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0041_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0041_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0709_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0709_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0821_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0821_quant/libParams/flenDist.txt
Salmon	all_sections	CSR2019-0911_quant	/local/home/jingchengw/projects/ifnh_csr_rnaseq_2021/data/mapped_salmon/CSR2019-0911_quant/libParams/flenDist.txt
