Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1624376455.260	     5.374	0	0	0	0	pigz -p 4 data/qc/CSR2019-0833_O1_unpaired.fastq
4	:	1624376455.274	     5.878	0	0	0	0	pigz -p 4 data/qc/CSR2019-0077_O2_unpaired.fastq
2	:	1624376455.264	     8.539	0	0	0	0	pigz -p 4 data/qc/CSR2019-0371_O1_unpaired.fastq
6	:	1624376461.158	     5.283	0	0	0	0	pigz -p 4 data/qc/CSR2019-0718_O2_unpaired.fastq
5	:	1624376460.640	   497.584	0	0	0	0	pigz -p 4 data/qc/CSR2019-0017_O2_paired.fastq
7	:	1624376463.810	   510.812	0	0	0	0	pigz -p 4 data/qc/CSR2019-0041_O2_paired.fastq
10	:	1624376974.635	     3.242	0	0	0	0	pigz -p 4 data/qc/CSR2019-0221_O2_unpaired.fastq
8	:	1624376466.448	   577.942	0	0	0	0	pigz -p 4 data/qc/CSR2019-0050_O2_paired.fastq
12	:	1624377044.400	   705.631	0	0	0	0	pigz -p 4 data/qc/CSR2019-0041_O1_paired.fastq
3	:	1624376455.269	  1310.052	0	0	0	0	pigz -p 4 data/qc/CSR2019-0857_O1_paired.fastq
14	:	1624377765.330	     8.889	0	0	0	0	pigz -p 4 data/qc/CSR2019-0218_O1_unpaired.fastq
9	:	1624376958.232	   908.825	0	0	0	0	pigz -p 4 data/qc/CSR2019-0023_O2_paired.fastq
11	:	1624376977.883	   964.907	0	0	0	0	pigz -p 4 data/qc/CSR2019-0848_O2_paired.fastq
13	:	1624377750.041	   795.187	0	0	0	0	pigz -p 4 data/qc/CSR2019-0821_O2_paired.fastq
18	:	1624378545.239	     1.838	0	0	0	0	pigz -p 4 data/qc/CSR2019-0239_O2_unpaired.fastq
15	:	1624377774.225	   973.045	0	0	0	0	pigz -p 4 data/qc/CSR2019-0212_O2_paired.fastq
16	:	1624377867.066	   996.224	0	0	0	0	pigz -p 4 data/qc/CSR2019-0089_O1_paired.fastq
17	:	1624377942.797	  1305.460	0	0	0	0	pigz -p 4 data/qc/CSR2019-0721_O2_paired.fastq
19	:	1624378547.084	  1082.286	0	0	0	0	pigz -p 4 data/qc/CSR2019-0089_O2_paired.fastq
20	:	1624378747.276	   947.625	0	0	0	0	pigz -p 4 data/qc/CSR2019-0860_O1_paired.fastq
21	:	1624378863.301	  1181.839	0	0	0	0	pigz -p 4 data/qc/CSR2019-0230_O1_paired.fastq
25	:	1624380045.155	     4.673	0	0	0	0	pigz -p 4 data/qc/CSR2019-0848_O1_unpaired.fastq
22	:	1624379248.266	   884.960	0	0	0	0	pigz -p 4 data/qc/CSR2019-0839_O1_paired.fastq
23	:	1624379629.379	   859.973	0	0	0	0	pigz -p 4 data/qc/CSR2019-0209_O2_paired.fastq
28	:	1624380489.359	     1.495	0	0	0	0	pigz -p 4 data/qc/CSR2019-0851_O2_unpaired.fastq
29	:	1624380490.861	     3.556	0	0	0	0	pigz -p 4 data/qc/CSR2019-0851_O1_unpaired.fastq
30	:	1624380494.423	     1.599	0	0	0	0	pigz -p 4 data/qc/CSR2019-0920_O1_unpaired.fastq
24	:	1624379694.910	  1228.355	0	0	0	0	pigz -p 4 data/qc/CSR2019-0833_O2_paired.fastq
32	:	1624380923.276	     2.858	0	0	0	0	pigz -p 4 data/qc/CSR2019-0821_O1_unpaired.fastq
33	:	1624380926.140	     1.389	0	0	0	0	pigz -p 4 data/qc/CSR2019-0218_O2_unpaired.fastq
34	:	1624380927.536	    12.979	0	0	0	0	pigz -p 4 data/qc/CSR2019-0401_O1_unpaired.fastq
35	:	1624380940.523	     5.539	0	0	0	0	pigz -p 4 data/qc/CSR2019-0089_O1_unpaired.fastq
36	:	1624380946.068	     0.769	0	0	0	0	pigz -p 4 data/qc/CSR2019-0230_O2_unpaired.fastq
27	:	1624380133.232	  1012.734	0	0	0	0	pigz -p 4 data/qc/CSR2019-0221_O1_paired.fastq
38	:	1624381145.974	     5.210	0	0	0	0	pigz -p 4 data/qc/CSR2019-0050_O1_unpaired.fastq
39	:	1624381151.192	     1.542	0	0	0	0	pigz -p 4 data/qc/CSR2019-0833_O2_unpaired.fastq
40	:	1624381152.739	     3.082	0	0	0	0	pigz -p 4 data/qc/CSR2019-0212_O2_unpaired.fastq
26	:	1624380049.840	  1311.021	0	0	0	0	pigz -p 4 data/qc/CSR2019-0718_O2_paired.fastq
37	:	1624380946.843	   655.555	0	0	0	0	pigz -p 4 data/qc/CSR2019-0389_O2_paired.fastq
43	:	1624381602.406	   191.967	0	0	0	0	pigz -p 4 data/qc/CSR2019-0923_O1_paired.fastq
31	:	1624380496.028	  1396.245	0	0	0	0	pigz -p 4 data/qc/CSR2019-0077_O2_paired.fastq
45	:	1624381892.283	     1.372	0	0	0	0	pigz -p 4 data/qc/CSR2019-0721_O2_unpaired.fastq
46	:	1624381893.661	     4.510	0	0	0	0	pigz -p 4 data/qc/CSR2019-0860_O1_unpaired.fastq
42	:	1624381360.871	   702.720	0	0	0	0	pigz -p 4 data/qc/CSR2019-0821_O1_paired.fastq
48	:	1624382063.599	     4.726	0	0	0	0	pigz -p 4 data/qc/CSR2019-0230_O1_unpaired.fastq
47	:	1624381898.178	   741.927	0	0	0	0	pigz -p 4 data/qc/CSR2019-0721_O1_paired.fastq
49	:	1624382068.330	   677.281	0	0	0	0	pigz -p 4 data/qc/CSR2019-0860_O2_paired.fastq
51	:	1624382745.618	   575.825	0	0	0	0	pigz -p 4 data/qc/CSR2019-0407_O2_paired.fastq
44	:	1624381794.379	  1680.822	0	0	0	0	pigz -p 4 data/qc/CSR2019-0059_O2_paired.fastq
50	:	1624382640.116	   857.465	0	0	0	0	pigz -p 4 data/qc/CSR2019-0398_O1_paired.fastq
54	:	1624383497.587	     2.797	0	0	0	0	pigz -p 4 data/qc/CSR2019-0842_O1_unpaired.fastq
55	:	1624383500.389	     3.469	0	0	0	0	pigz -p 4 data/qc/CSR2019-0380_O1_unpaired.fastq
53	:	1624383475.208	   603.174	0	0	0	0	pigz -p 4 data/qc/CSR2019-0218_O2_paired.fastq
52	:	1624383321.456	  1044.438	0	0	0	0	pigz -p 4 data/qc/CSR2019-0857_O2_paired.fastq
56	:	1624383503.867	   880.121	0	0	0	0	pigz -p 4 data/qc/CSR2019-0236_O2_paired.fastq
41	:	1624381155.828	  3524.065	0	0	0	0	pigz -p 4 data/qc/CSR2019-0416_O2_paired.fastq
57	:	1624384078.396	   654.723	0	0	0	0	pigz -p 4 data/qc/CSR2019-0842_O2_paired.fastq
59	:	1624384383.995	   977.575	0	0	0	0	pigz -p 4 data/qc/CSR2019-0023_O1_paired.fastq
