Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1624039648.711	   228.171	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0008_O1_paired.fastq.gz -2 data/qc/CSR2019-0008_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0008_quant
1	:	1624039648.707	   241.483	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0005_O1_paired.fastq.gz -2 data/qc/CSR2019-0005_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0005_quant
3	:	1624039648.715	   247.637	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0014_O1_paired.fastq.gz -2 data/qc/CSR2019-0014_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0014_quant
4	:	1624039876.892	   142.535	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0017_O1_paired.fastq.gz -2 data/qc/CSR2019-0017_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0017_quant
5	:	1624039890.199	   171.554	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0023_O1_paired.fastq.gz -2 data/qc/CSR2019-0023_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0023_quant
6	:	1624039896.360	   229.544	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0032_O1_paired.fastq.gz -2 data/qc/CSR2019-0032_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0032_quant
7	:	1624040019.435	   165.048	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0041_O1_paired.fastq.gz -2 data/qc/CSR2019-0041_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0041_quant
8	:	1624040061.760	   164.072	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0044_O1_paired.fastq.gz -2 data/qc/CSR2019-0044_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0044_quant
9	:	1624040125.911	   163.088	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0050_O1_paired.fastq.gz -2 data/qc/CSR2019-0050_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0050_quant
10	:	1624040184.494	   156.572	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0053_O1_paired.fastq.gz -2 data/qc/CSR2019-0053_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0053_quant
11	:	1624040225.839	   186.069	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0059_O1_paired.fastq.gz -2 data/qc/CSR2019-0059_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0059_quant
12	:	1624040289.006	   184.549	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0077_O1_paired.fastq.gz -2 data/qc/CSR2019-0077_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0077_quant
13	:	1624040341.074	   174.981	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0080_O1_paired.fastq.gz -2 data/qc/CSR2019-0080_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0080_quant
14	:	1624040411.919	   190.591	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0089_O1_paired.fastq.gz -2 data/qc/CSR2019-0089_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0089_quant
15	:	1624040473.563	   184.058	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0209_O1_paired.fastq.gz -2 data/qc/CSR2019-0209_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0209_quant
