Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1624412928.218	   276.937	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0008_O1_paired.fastq.gz -2 data/qc/CSR2019-0008_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0008_quant
1	:	1624412928.214	   297.845	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0005_O1_paired.fastq.gz -2 data/qc/CSR2019-0005_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0005_quant
3	:	1624412928.222	   313.834	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0014_O1_paired.fastq.gz -2 data/qc/CSR2019-0014_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0014_quant
4	:	1624413205.220	   199.720	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0017_O1_paired.fastq.gz -2 data/qc/CSR2019-0017_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0017_quant
5	:	1624413226.065	   233.674	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0023_O1_paired.fastq.gz -2 data/qc/CSR2019-0023_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0023_quant
6	:	1624413242.067	   274.917	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0032_O1_paired.fastq.gz -2 data/qc/CSR2019-0032_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0032_quant
7	:	1624413404.982	   205.658	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0041_O1_paired.fastq.gz -2 data/qc/CSR2019-0041_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0041_quant
8	:	1624413459.746	   210.123	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0044_O1_paired.fastq.gz -2 data/qc/CSR2019-0044_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0044_quant
9	:	1624413516.991	   204.187	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0050_O1_paired.fastq.gz -2 data/qc/CSR2019-0050_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0050_quant
10	:	1624413610.650	   207.164	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0053_O1_paired.fastq.gz -2 data/qc/CSR2019-0053_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0053_quant
11	:	1624413669.879	   221.146	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0059_O1_paired.fastq.gz -2 data/qc/CSR2019-0059_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0059_quant
12	:	1624413721.185	   244.171	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0077_O1_paired.fastq.gz -2 data/qc/CSR2019-0077_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0077_quant
13	:	1624413817.822	   225.710	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0080_O1_paired.fastq.gz -2 data/qc/CSR2019-0080_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0080_quant
14	:	1624413891.033	   254.640	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0089_O1_paired.fastq.gz -2 data/qc/CSR2019-0089_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0089_quant
15	:	1624413965.366	   242.180	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l IU -1 data/qc/CSR2019-0209_O1_paired.fastq.gz -2 data/qc/CSR2019-0209_O2_paired.fastq.gz -p 8 --validateMappings --recoverOrphans --allowDovetail --useVBOpt --seqBias -o data/mapped_salmon/CSR2019-0209_quant
