Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1624048381.436	    79.390	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l U -r data/qc/CSR2019-0008_O1_unpaired.fastq.gz data/qc/CSR2019-0008_O2_unpaired.fastq.gz -p 8 --validateMappings --fldMean 265 --fldSD 105 --useVBOpt --seqBias -o data/mapped_salmon/SE/CSR2019-0008_quant
1	:	1624048381.432	    92.907	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l U -r data/qc/CSR2019-0005_O1_unpaired.fastq.gz data/qc/CSR2019-0005_O2_unpaired.fastq.gz -p 8 --validateMappings --fldMean 265 --fldSD 105 --useVBOpt --seqBias -o data/mapped_salmon/SE/CSR2019-0005_quant
3	:	1624048381.440	    96.072	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l U -r data/qc/CSR2019-0014_O1_unpaired.fastq.gz data/qc/CSR2019-0014_O2_unpaired.fastq.gz -p 8 --validateMappings --fldMean 265 --fldSD 105 --useVBOpt --seqBias -o data/mapped_salmon/SE/CSR2019-0014_quant
4	:	1624048460.834	    72.606	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l U -r data/qc/CSR2019-0017_O1_unpaired.fastq.gz data/qc/CSR2019-0017_O2_unpaired.fastq.gz -p 8 --validateMappings --fldMean 265 --fldSD 105 --useVBOpt --seqBias -o data/mapped_salmon/SE/CSR2019-0017_quant
5	:	1624048474.347	    93.647	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l U -r data/qc/CSR2019-0023_O1_unpaired.fastq.gz data/qc/CSR2019-0023_O2_unpaired.fastq.gz -p 8 --validateMappings --fldMean 265 --fldSD 105 --useVBOpt --seqBias -o data/mapped_salmon/SE/CSR2019-0023_quant
6	:	1624048477.520	   102.111	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l U -r data/qc/CSR2019-0032_O1_unpaired.fastq.gz data/qc/CSR2019-0032_O2_unpaired.fastq.gz -p 8 --validateMappings --fldMean 265 --fldSD 105 --useVBOpt --seqBias -o data/mapped_salmon/SE/CSR2019-0032_quant
7	:	1624048533.448	    83.605	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l U -r data/qc/CSR2019-0041_O1_unpaired.fastq.gz data/qc/CSR2019-0041_O2_unpaired.fastq.gz -p 8 --validateMappings --fldMean 265 --fldSD 105 --useVBOpt --seqBias -o data/mapped_salmon/SE/CSR2019-0041_quant
8	:	1624048568.000	    84.130	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l U -r data/qc/CSR2019-0044_O1_unpaired.fastq.gz data/qc/CSR2019-0044_O2_unpaired.fastq.gz -p 8 --validateMappings --fldMean 265 --fldSD 105 --useVBOpt --seqBias -o data/mapped_salmon/SE/CSR2019-0044_quant
9	:	1624048579.639	    84.624	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l U -r data/qc/CSR2019-0050_O1_unpaired.fastq.gz data/qc/CSR2019-0050_O2_unpaired.fastq.gz -p 8 --validateMappings --fldMean 265 --fldSD 105 --useVBOpt --seqBias -o data/mapped_salmon/SE/CSR2019-0050_quant
10	:	1624048617.060	    89.104	0	0	0	0	salmon quant -i data/reference/MmvM27_salmon_ind -l U -r data/qc/CSR2019-0053_O1_unpaired.fastq.gz data/qc/CSR2019-0053_O2_unpaired.fastq.gz -p 8 --validateMappings --fldMean 265 --fldSD 105 --useVBOpt --seqBias -o data/mapped_salmon/SE/CSR2019-0053_quant
