Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1622753420.814	  1570.017	0	0	0	0	trimmomatic PE -threads 8 -phred33 -trimlog data/qc/CSR2019-0005.log data/raw/CSR2019-0005_R1_001.fastq.gz data/raw/CSR2019-0005_R2_001.fastq.gz data/qc/CSR2019-0005_O1_paired.fastq data/qc/CSR2019-0005_O1_unpaired.fastq data/qc/CSR2019-0005_O2_paired.fastq data/qc/CSR2019-0005_O2_unpaired.fastq ILLUMINACLIP:/local/home/jingchengw/miniconda3/envs/RNAseqIFNH/share/trimmomatic/adapters/TruSeq3-PE.fa:2:30:10:2:keepBothReads LEADING:20 TRAILING:20 SLIDINGWINDOW:4:15 MINLEN:35
2	:	1622753420.818	  1673.300	0	0	0	0	trimmomatic PE -threads 8 -phred33 -trimlog data/qc/CSR2019-0008.log data/raw/CSR2019-0008_R1_001.fastq.gz data/raw/CSR2019-0008_R2_001.fastq.gz data/qc/CSR2019-0008_O1_paired.fastq data/qc/CSR2019-0008_O1_unpaired.fastq data/qc/CSR2019-0008_O2_paired.fastq data/qc/CSR2019-0008_O2_unpaired.fastq ILLUMINACLIP:/local/home/jingchengw/miniconda3/envs/RNAseqIFNH/share/trimmomatic/adapters/TruSeq3-PE.fa:2:30:10:2:keepBothReads LEADING:20 TRAILING:20 SLIDINGWINDOW:4:15 MINLEN:35
3	:	1622753420.822	  1792.806	0	0	0	0	trimmomatic PE -threads 8 -phred33 -trimlog data/qc/CSR2019-0014.log data/raw/CSR2019-0014_R1_001.fastq.gz data/raw/CSR2019-0014_R2_001.fastq.gz data/qc/CSR2019-0014_O1_paired.fastq data/qc/CSR2019-0014_O1_unpaired.fastq data/qc/CSR2019-0014_O2_paired.fastq data/qc/CSR2019-0014_O2_unpaired.fastq ILLUMINACLIP:/local/home/jingchengw/miniconda3/envs/RNAseqIFNH/share/trimmomatic/adapters/TruSeq3-PE.fa:2:30:10:2:keepBothReads LEADING:20 TRAILING:20 SLIDINGWINDOW:4:15 MINLEN:35
4	:	1622754990.842	  1086.377	0	0	0	0	trimmomatic PE -threads 8 -phred33 -trimlog data/qc/CSR2019-0017.log data/raw/CSR2019-0017_R1_001.fastq.gz data/raw/CSR2019-0017_R2_001.fastq.gz data/qc/CSR2019-0017_O1_paired.fastq data/qc/CSR2019-0017_O1_unpaired.fastq data/qc/CSR2019-0017_O2_paired.fastq data/qc/CSR2019-0017_O2_unpaired.fastq ILLUMINACLIP:/local/home/jingchengw/miniconda3/envs/RNAseqIFNH/share/trimmomatic/adapters/TruSeq3-PE.fa:2:30:10:2:keepBothReads LEADING:20 TRAILING:20 SLIDINGWINDOW:4:15 MINLEN:35
5	:	1622755094.126	  1346.884	0	0	0	0	trimmomatic PE -threads 8 -phred33 -trimlog data/qc/CSR2019-0023.log data/raw/CSR2019-0023_R1_001.fastq.gz data/raw/CSR2019-0023_R2_001.fastq.gz data/qc/CSR2019-0023_O1_paired.fastq data/qc/CSR2019-0023_O1_unpaired.fastq data/qc/CSR2019-0023_O2_paired.fastq data/qc/CSR2019-0023_O2_unpaired.fastq ILLUMINACLIP:/local/home/jingchengw/miniconda3/envs/RNAseqIFNH/share/trimmomatic/adapters/TruSeq3-PE.fa:2:30:10:2:keepBothReads LEADING:20 TRAILING:20 SLIDINGWINDOW:4:15 MINLEN:35
6	:	1622755213.635	  1666.357	0	0	0	0	trimmomatic PE -threads 8 -phred33 -trimlog data/qc/CSR2019-0032.log data/raw/CSR2019-0032_R1_001.fastq.gz data/raw/CSR2019-0032_R2_001.fastq.gz data/qc/CSR2019-0032_O1_paired.fastq data/qc/CSR2019-0032_O1_unpaired.fastq data/qc/CSR2019-0032_O2_paired.fastq data/qc/CSR2019-0032_O2_unpaired.fastq ILLUMINACLIP:/local/home/jingchengw/miniconda3/envs/RNAseqIFNH/share/trimmomatic/adapters/TruSeq3-PE.fa:2:30:10:2:keepBothReads LEADING:20 TRAILING:20 SLIDINGWINDOW:4:15 MINLEN:35
7	:	1622756077.231	   882.305	0	0	0	0	trimmomatic PE -threads 8 -phred33 -trimlog data/qc/CSR2019-0041.log data/raw/CSR2019-0041_R1_001.fastq.gz data/raw/CSR2019-0041_R2_001.fastq.gz data/qc/CSR2019-0041_O1_paired.fastq data/qc/CSR2019-0041_O1_unpaired.fastq data/qc/CSR2019-0041_O2_paired.fastq data/qc/CSR2019-0041_O2_unpaired.fastq ILLUMINACLIP:/local/home/jingchengw/miniconda3/envs/RNAseqIFNH/share/trimmomatic/adapters/TruSeq3-PE.fa:2:30:10:2:keepBothReads LEADING:20 TRAILING:20 SLIDINGWINDOW:4:15 MINLEN:35
8	:	1622756441.021	   997.713	0	0	0	0	trimmomatic PE -threads 8 -phred33 -trimlog data/qc/CSR2019-0044.log data/raw/CSR2019-0044_R1_001.fastq.gz data/raw/CSR2019-0044_R2_001.fastq.gz data/qc/CSR2019-0044_O1_paired.fastq data/qc/CSR2019-0044_O1_unpaired.fastq data/qc/CSR2019-0044_O2_paired.fastq data/qc/CSR2019-0044_O2_unpaired.fastq ILLUMINACLIP:/local/home/jingchengw/miniconda3/envs/RNAseqIFNH/share/trimmomatic/adapters/TruSeq3-PE.fa:2:30:10:2:keepBothReads LEADING:20 TRAILING:20 SLIDINGWINDOW:4:15 MINLEN:35
9	:	1622756880.004	  1019.396	0	0	0	0	trimmomatic PE -threads 8 -phred33 -trimlog data/qc/CSR2019-0050.log data/raw/CSR2019-0050_R1_001.fastq.gz data/raw/CSR2019-0050_R2_001.fastq.gz data/qc/CSR2019-0050_O1_paired.fastq data/qc/CSR2019-0050_O1_unpaired.fastq data/qc/CSR2019-0050_O2_paired.fastq data/qc/CSR2019-0050_O2_unpaired.fastq ILLUMINACLIP:/local/home/jingchengw/miniconda3/envs/RNAseqIFNH/share/trimmomatic/adapters/TruSeq3-PE.fa:2:30:10:2:keepBothReads LEADING:20 TRAILING:20 SLIDINGWINDOW:4:15 MINLEN:35
10	:	1622756959.543	   963.487	0	0	0	0	trimmomatic PE -threads 8 -phred33 -trimlog data/qc/CSR2019-0053.log data/raw/CSR2019-0053_R1_001.fastq.gz data/raw/CSR2019-0053_R2_001.fastq.gz data/qc/CSR2019-0053_O1_paired.fastq data/qc/CSR2019-0053_O1_unpaired.fastq data/qc/CSR2019-0053_O2_paired.fastq data/qc/CSR2019-0053_O2_unpaired.fastq ILLUMINACLIP:/local/home/jingchengw/miniconda3/envs/RNAseqIFNH/share/trimmomatic/adapters/TruSeq3-PE.fa:2:30:10:2:keepBothReads LEADING:20 TRAILING:20 SLIDINGWINDOW:4:15 MINLEN:35
